,game_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,results
63426,4094817,2023,27. Matchday,2024-03-31,417,995,1,2,5.0,14.0,Francesco Farioli,Antoine Kombouaré,Allianz Riviera,21142.0,Bastien Dechepy,4-3-3 Attacking,4-2-3-1,Olympique Gymnaste Club Nice Côte d'Azur,Football Club de Nantes,1:2,domestic_league,-1
63427,4094818,2023,27. Matchday,2024-03-31,3524,415,0,3,18.0,11.0,Pascal Gastien,Carles Martínez,Stade Gabriel-Montpied,10499.0,Pierre Gaillouste,3-4-3,3-4-3,Clermont Foot 63,Toulouse Football Club,0:3,domestic_league,-1
63428,4094819,2023,27. Matchday,2024-03-31,738,969,0,2,15.0,13.0,Luka Elsner,Michel Der Zakarian,Stade Océane,20556.0,Mathieu Vernice,4-2-3-1,4-3-3 Attacking,Le Havre Athletic Club,Montpellier HSC,0:2,domestic_league,-1
63429,4094820,2023,27. Matchday,2024-03-30,347,162,2,5,17.0,3.0,László Bölöni,Adi Hütter,Stade Saint-Symphorien,26661.0,Eric Wattellier,5-4-1,4-2-3-1,Football Club de Metz,Association sportive de Monaco Football Club,2:5,domestic_league,-1
63430,4094821,2023,28. Matchday,2024-04-06,583,3524,1,1,1.0,18.0,Luis Enrique,Pascal Gastien,Parc des Princes,47607.0,Gaël Angoula,4-3-3 Attacking,3-4-3,Paris Saint-Germain Football Club,Clermont Foot 63,1:1,domestic_league,0
63431,4094822,2023,28. Matchday,2024-04-07,415,667,0,0,11.0,12.0,Carles Martínez,Patrick Vieira,Stadium Municipal,23672.0,Ruddy Buquet,3-4-3,3-4-3,Toulouse Football Club,Racing Club de Strasbourg Alsace,0:0,domestic_league,0
63432,4094823,2023,28. Matchday,2024-04-07,162,273,1,0,3.0,9.0,Adi Hütter,Julien Stéphan,Stade Louis-II,6634.0,Stéphanie Frappart,4-2-3-1,4-4-2 double 6,Association sportive de Monaco Football Club,Stade Rennais Football Club,1:0,domestic_league,1
63433,4094824,2023,28. Matchday,2024-04-05,1082,244,3,1,4.0,8.0,Paulo Fonseca,Jean-Louis Gasset,Decathlon Arena-Stade Pierre-Mauroy,46864.0,Bastien Dechepy,4-3-3 Attacking,4-3-3 Attacking,Lille Olympique Sporting Club,Olympique de Marseille,3:1,domestic_league,1
63434,4094825,2023,28. Matchday,2024-04-07,1421,417,0,0,7.0,5.0,Will Still,Francesco Farioli,Stade Auguste-Delaune,14606.0,Eric Wattellier,3-5-2 flat,4-3-3 Attacking,Stade Reims,Olympique Gymnaste Club Nice Côte d'Azur,0:0,domestic_league,0
63435,4094826,2023,28. Matchday,2024-04-06,826,738,1,1,6.0,14.0,Franck Haise,Luka Elsner,Stade Bollaert-Delelis,38223.0,François Letexier,3-4-1-2,3-4-3,Racing Club de Lens,Le Havre Athletic Club,1:1,domestic_league,0
63436,4094827,2023,28. Matchday,2024-04-07,995,1041,1,3,15.0,10.0,Antoine Kombouaré,Pierre Sage,Stade de la Beaujoire,,Jérôme Brisard,4-2-3-1,4-3-3 Attacking,Football Club de Nantes,Olympique Lyonnais,1:3,domestic_league,-1
63437,4094828,2023,28. Matchday,2024-04-07,969,1158,2,0,13.0,16.0,Michel Der Zakarian,Régis Le Bris,Stade de la Mosson,15234.0,Romain Lissorgue,4-2-3-1,3-4-2-1,Montpellier HSC,Football Club Lorient-Bretagne Sud,2:0,domestic_league,1
63438,4094829,2023,28. Matchday,2024-04-07,3911,347,4,3,2.0,17.0,Éric Roy,László Bölöni,Stade Francis-Le Blé,14656.0,Benoît Millot,4-4-2 double 6,4-3-3 Attacking,Stade brestois 29,Football Club de Metz,4:3,domestic_league,1
63439,4094830,2023,29. Matchday,2024-04-13,667,1421,3,1,12.0,9.0,Patrick Vieira,Will Still,Stade de la Meinau,25436.0,Willy Delajod,3-4-3,4-4-1-1,Racing Club de Strasbourg Alsace,Stade Reims,3:1,domestic_league,1
63440,4094831,2023,29. Matchday,2024-04-13,273,415,1,2,10.0,11.0,Julien Stéphan,Carles Martínez,Roazhon Park,28055.0,Florent Batta,4-4-2 double 6,3-4-3,Stade Rennais Football Club,Toulouse Football Club,1:2,domestic_league,-1
63441,4094832,2023,29. Matchday,2024-04-24,244,417,2,2,8.0,5.0,Jean-Louis Gasset,Francesco Farioli,Orange Vélodrome,58151.0,Jérémie Pignard,3-5-2,4-3-3 Attacking,Olympique de Marseille,Olympique Gymnaste Club Nice Côte d'Azur,2:2,domestic_league,0
