game_id,date,home_club_id,away_club_id,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,competition_type
4635094,2025-10-29,347,826,Stéphane Le Mignan,Pierre Sage,Stade Saint-Symphorien,20618.0,Abdelatif Kherradji,Football Club de Metz,Racing Club de Lens,domestic_league
4635095,2025-10-29,417,1082,Franck Haise,Bruno Génésio,Allianz Riviera,22441.0,Bastien Dechepy,Olympique Gymnaste Club Nice Côte d'Azur,Lille Olympique Sporting Club,domestic_league
4635096,2025-11-01,583,417,Luis Enrique,Franck Haise,Parc des Princes,47629.0,François Letexier,Paris Saint-Germain Football Club,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4635097,2025-11-02,415,738,Carles Martínez,Didier Digard,Stadium Municipal,20714.0,Jérémy Stinat,Toulouse Football Club,Le Havre Athletic Club,domestic_league
4635098,2025-11-02,1082,1420,Bruno Génésio,Alexandre Dujeux,Decathlon Arena-Stade Pierre-Mauroy,38802.0,Jérôme Brisard,Lille Olympique Sporting Club,Angers Sporting Club de l'Ouest,domestic_league
4635099,2025-11-02,273,667,Habib Beye,Liam Rosenior,Roazhon Park,27658.0,Thomas Léonard,Stade Rennais Football Club,Racing Club de Strasbourg Alsace,domestic_league
4635100,2025-11-02,826,1158,Pierre Sage,Olivier Pantaloni,Stade Bollaert-Delelis,37373.0,Jérémie Pignard,Racing Club de Lens,Football Club Lorient-Bretagne Sud,domestic_league
4635101,2025-11-02,3911,1041,Éric Roy,Paulo Fonseca,Stade Francis-Le Blé,14534.0,Clément Turpin,Stade brestois 29,Olympique Lyonnais,domestic_league
4635102,2025-11-02,995,347,Luís Castro,Stéphane Le Mignan,Stade de la Beaujoire,27150.0,Gaël Angoula,Football Club de Nantes,Football Club de Metz,domestic_league
4635103,2025-11-01,162,10004,Sébastien Pocognoli,Stéphane Gilli,Stade Louis-II,10727.0,Eric Wattellier,Association sportive de Monaco Football Club,Paris Football Club,domestic_league
4635104,2025-11-01,290,244,Christophe Pélissier,Roberto De Zerbi,Stade de l'Abbé-Deschamps,16529.0,Benoît Bastien,Association de la Jeunesse auxerroise,Olympique de Marseille,domestic_league
4635105,2025-11-08,244,3911,Roberto De Zerbi,Éric Roy,Orange Vélodrome,66279.0,Willy Delajod,Olympique de Marseille,Stade brestois 29,domestic_league
